1,0.000000,-17.777778,0.000000,19,14
2,31.599428,2.148497,0.000000,18,13
3,28.507027,16.397667,0.000000,17,12
4,33.867993,21.358460,0.000000,16,11
5,33.633952,22.610686,0.000000,15,10
6,20.041039,28.200658,0.000000,4,9
7,14.435191,23.521368,0.000000,3,8
8,5.331507,20.562464,0.000000,2,7
9,0.802143,18.917999,0.000000,1,6
10,1.534470,15.850343,0.000000,0,5
11,11.720782,5.018692,16.922873,0,4
12,10.292239,8.812353,25.572027,1,3
1,19.233373,8.403990,35.999954,2,2
2,33.110910,12.837986,33.046711,3,1
3,37.362649,11.172121,29.652047,4,0
4,36.156795,23.196695,19.492262,5,1
5,32.244541,27.994830,6.792262,6,2
6,26.532690,26.792861,0.000000,3,1
7,9.554208,21.391640,0.000000,2,0
8,7.096505,27.789052,0.000000,1,1
9,0.000000,19.533619,0.000000,0,0
10,3.764805,17.161681,0.058652,0,1
11,8.210198,9.134191,7.149343,0,0
12,18.746196,6.267505,26.314276,1,1
1,19.365414,6.171754,43.388887,2,0
2,31.075669,10.456376,45.051281,3,1
3,36.563277,17.856522,37.486748,4,0
4,33.119548,21.359982,27.328710,5,1
5,30.370733,23.186467,14.628962,6,2
6,26.264388,25.686073,0.000000,5,1
7,11.050470,25.000593,0.000000,4,2
8,6.804138,28.731969,0.000000,3,1
9,0.000000,15.678440,0.000000,2,0
10,4.031839,10.784416,0.000000,1,1
11,11.789087,6.885910,11.601466,0,0
12,13.845674,2.988190,28.954190,1,1
1,21.854611,3.754489,48.489986,2,0
2,30.346869,2.258369,62.262014,3,1
3,33.923990,14.743777,55.298994,4,0
4,32.177740,19.269604,45.156192,5,1
5,28.158034,24.559182,32.456236,6,2
6,19.528424,28.441374,17.216236,5,1
7,18.203700,27.488467,4.516237,6,2
8,10.772506,22.767245,0.000000,5,1
9,6.732917,18.774626,0.000000,4,2
10,0.000000,12.538552,0.000000,3,1
11,9.996423,5.601565,7.533595,1,0
12,12.904490,10.246879,11.022249,2,1
1,18.629816,6.973883,23.248130,3,0
2,27.758608,10.091203,23.694176,4,1
3,32.572227,11.512994,17.716259,5,0
4,33.030554,22.746260,5.016663,6,1
5,28.978565,20.498127,0.000000,5,2
6,24.601415,23.319410,0.000000,2,1
7,16.059291,29.109374,0.000000,1,0
8,3.000438,26.238064,0.000000,0,1
9,4.512217,21.311429,0.001154,0,0
10,2.672361,15.300034,0.226662,0,1
11,7.279772,6.485575,12.233441,0,0
12,16.605503,4.216826,32.476821,1,1
1,26.437723,0.598109,44.068008,2,0
2,29.255421,2.965082,59.798162,3,1
3,32.842254,9.659044,60.871139,4,0
4,34.639184,17.111717,50.821743,5,1
5,31.195283,20.702159,38.125885,6,2
6,23.788500,27.016144,22.885887,5,1
7,17.992496,30.950809,10.185887,6,2
8,2.966731,27.350464,0.000000,5,1
9,0.000000,23.914354,0.000000,4,2
10,3.259311,10.535956,0.000000,3,1
11,6.539939,9.536482,0.000000,1,0
12,16.014776,3.084573,16.242863,0,1
